Name|Attack|Defense|Health|Move1|Move2|Move3|Move4
Bulbasaur|49|49|45|Vine Whip:45|Energy Ball:90|Ice Beam:90|Solar Beam:120
Ivysaur|62|63|60|Vine Whip:45|Energy Ball:90|Thunderbolt:90|Solar Beam:120
Venusaur|100|123|80|Razor Leaf:55|Energy Ball:90|Ice Beam:90|Solar Beam:120
Charmander|52|43|39|Ember:40|Flame Wheel:60|Thunderbolt:90|Fire Blast:110
Charmeleon|64|58|58|Flame Wheel:60|Thunderbolt:90|Fire Blast:110|Surf:90
Charizard|104|78|78|Flame Wheel:60|Ice Beam:90|Fire Blast:110|Surf:90
Squirtle|48|65|44|Water Gun:40|Surf:90|Energy Ball:90|Hydro Pump:110
Wartortle|63|80|59|Bubble Beam:65|Slash:70|Hydro Pump:110|Surf:90
Blastoise|103|120|79|Bubble Beam:65|Surf:90|Ice Beam:90|Hydro Pump:110
Caterpie|30|35|45|Bug Bite:60|X-Scissor:80|Energy Ball:90|Megahorn:120
Metapod|20|55|50|Struggle Bug:50|Bug Bite:60|Flamethrower:90|Megahorn:120
Butterfree|45|50|60|Bug Bite:60|Brick Break:75|Megahorn:120|Slash:70
Weedle|35|30|40|Struggle Bug:50|Bug Bite:60|Rock Slide:75|Megahorn:120
Kakuna|25|50|45|Bug Bite:60|X-Scissor:80|Brick Break:75|Megahorn:120
Beedrill|150|40|65|Struggle Bug:50|X-Scissor:80|Energy Ball:90|Megahorn:120
Pidgey|45|40|40|Gust:40|Air Slash:75|Brick Break:75|Hurricane:110
Pidgeotto|60|55|63|Aerial Ace:60|Air Slash:75|Energy Ball:90|Hurricane:110
Pidgeot|80|80|83|Aerial Ace:60|Air Slash:75|Shadow Ball:80|Hurricane:110
Rattata|56|35|30|Headbutt:70|Body Slam:85|Ice Beam:90|Hyper Beam:150
Raticate|71|70|75|Tackle:40|Headbutt:70|Flamethrower:90|Hyper Beam:150
Spearow|60|30|40|Gust:40|Aerial Ace:60|Shadow Ball:80|Hurricane:110
Fearow|90|65|65|Aerial Ace:60|Brick Break:75|Hurricane:110|Brick Break:75
Ekans|60|44|35|Sludge:65|Surf:90|Gunk Shot:120|Bite:60
Arbok|95|69|60|Poison Sting:15|Sludge:65|Thunderbolt:90|Gunk Shot:120
Pikachu|55|40|35|Thunder Shock:40|Spark:65|Shadow Ball:80|Thunder:110
Raichu|85|50|60|Thunder Shock:40|Thunderbolt:90|Rock Slide:75|Thunder:110
Sandshrew|75|90|50|Bulldoze:60|Slash:70|Earthquake:100|Slash:70
Sandslash|100|120|75|Bulldoze:60|Earthquake:100|Surf:90|Surf:90
Nidoran♀|47|52|55|Bulldoze:60|Sludge:65|Earthquake:100|Bite:60
Nidorina|62|67|70|Mud-Slap:20|Bulldoze:60|Gunk Shot:120|Earthquake:100
Nidoqueen|92|87|90|Bulldoze:60|Gunk Shot:120|Earthquake:100|Ice Beam:90
Nidoran♂|57|40|46|Mud-Slap:20|Earthquake:100|Sludge:65|Slash:70
Nidorino|72|57|61|Bulldoze:60|Sludge:65|Earthquake:100|Surf:90
Nidoking|102|77|81|Mud-Slap:20|Bulldoze:60|Gunk Shot:120|Earthquake:100
Clefairy|45|48|70|Tackle:40|Headbutt:70|Flamethrower:90|Hyper Beam:150
Clefable|70|73|95|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
